Frame No.,UTC Timestamp,Lat,Long,estimated_time,time,gps_lat,gps_lon,gps_lat_rel,gps_lon_rel,x,y,width,height,x_cent,y_cent,lat_int,lon_int
0,20:00:27,32.70297,-117.234631,20:00:31.0,0.0,,,,,1007.0,434.0,38.0,13.0,1026.0,447.0,-0.00016123300000003837,0.00108549999998786
1,20:00:27,32.70297,-117.234631,20:00:31.02,0.019230769230769232,,,,,1007.8,434.06,37.722,12.944,1027.0,447.0,-0.00016123300000003837,0.00108549999998786
2,20:00:27,32.70297,-117.234631,20:00:31.04,0.038461538461538464,,,,,1008.7,434.11,37.444,12.889,1027.0,447.0,-0.00016123300000003837,0.00108549999998786
3,20:00:27,32.70297,-117.234631,20:00:31.06,0.057692307692307696,,,,,1009.5,434.17,37.167,12.833,1028.0,447.0,-0.00016123300000003837,0.00108549999998786
4,20:00:27,32.70297,-117.234631,20:00:31.08,0.07692307692307693,,,,,1010.3,434.22,36.889,12.778,1029.0,447.0,-0.00016123300000003837,0.00108549999998786
5,20:00:27,32.70297,-117.234631,20:00:31.1,0.09615384615384616,,,,,1011.2,434.28,36.611,12.722,1030.0,447.0,-0.00016123300000003837,0.00108549999998786
6,20:00:27,32.70297,-117.234631,20:00:31.12,0.11538461538461539,,,,,1012.0,434.33,36.333,12.667,1030.0,447.0,-0.00016123300000003837,0.00108549999998786
7,20:00:27,32.70297,-117.234631,20:00:31.13,0.13461538461538464,,,,,1012.8,434.39,36.056,12.611,1031.0,447.0,-0.00016123300000003837,0.00108549999998786
8,20:00:27,32.70297,-117.234631,20:00:31.15,0.15384615384615385,,,,,1013.7,434.44,35.778,12.556,1032.0,447.0,-0.00016123300000003837,0.00108549999998786
9,20:00:27,32.70297,-117.234631,20:00:31.17,0.17307692307692307,,,,,1014.5,434.5,35.5,12.5,1032.0,447.0,-0.00016123300000003837,0.00108549999998786
