Frame No.,UTC Timestamp,Lat,Long,estimated_time
0,19:36:24,32.70297,-117.23463100000001,00:00:00
1,19:36:24,32.70297,-117.23463100000001,00:00:00
2,19:36:24,32.70297,-117.23463100000001,00:00:00
3,19:36:24,32.70297,-117.23463100000001,00:00:00
4,19:36:24,32.70297,-117.23463100000001,00:00:00
5,19:36:24,32.70297,-117.23463100000001,00:00:00
6,19:36:24,32.70297,-117.23463100000001,00:00:00
7,19:36:24,32.70297,-117.23463100000001,00:00:00
8,19:36:24,32.70297,-117.23463100000001,00:00:00
9,19:36:24,32.70297,-117.23463100000001,00:00:00
10,19:36:24,32.70297,-117.23463100000001,00:00:00
11,19:36:24,32.70297,-117.23463100000001,00:00:00
12,19:36:24,32.70297,-117.23463100000001,00:00:00
13,19:36:24,32.70297,-117.23463100000001,00:00:00
14,19:36:24,32.70297,-117.23463100000001,00:00:00
15,19:36:24,32.70297,-117.23463100000001,00:00:00
16,19:36:24,32.70297,-117.23463100000001,00:00:00
17,19:36:24,32.70297,-117.23463100000001,00:00:00
18,19:36:24,32.70297,-117.23463100000001,00:00:00
19,19:36:24,32.70297,-117.23463100000001,00:00:00
20,19:36:24,32.70297,-117.23463100000001,00:00:00
21,19:36:24,32.70297,-117.23463100000001,00:00:00
22,19:36:24,32.70297,-117.23463100000001,00:00:00
23,19:36:24,32.70297,-117.23463100000001,00:00:00
24,19:36:24,32.70297,-117.23463100000001,00:00:00
25,19:36:24,32.70297,-117.23463100000001,00:00:00
26,19:36:24,32.70297,-117.23463100000001,00:00:00
27,19:36:24,32.70297,-117.23463100000001,00:00:00
28,19:36:24,32.70297,-117.23463100000001,00:00:00
29,19:36:24,32.70297,-117.23463100000001,00:00:00
30,19:36:29,32.70297,-117.23463100000001,19:36:29
31,19:36:29,32.70297,-117.23463100000001,19:36:29
32,19:36:29,32.70297,-117.23463100000001,19:36:29
33,19:36:29,32.70297,-117.23463100000001,19:36:29
34,19:36:29,32.70297,-117.23463100000001,19:36:29
35,19:36:29,32.70297,-117.23463100000001,19:36:29
36,19:36:29,32.70297,-117.23463100000001,19:36:29
37,19:36:29,32.70297,-117.23463100000001,19:36:29
38,19:36:29,32.70297,-117.23463100000001,19:36:29
39,19:36:29,32.70297,-117.23463100000001,19:36:29
40,19:36:29,32.70297,-117.23463100000001,19:36:29
41,19:36:29,32.70297,-117.23463100000001,19:36:29
42,19:36:29,32.70297,-117.23463100000001,19:36:29
43,19:36:29,32.70297,-117.23463100000001,19:36:29
44,19:36:29,32.70297,-117.23463100000001,19:36:29
45,19:36:29,32.70297,-117.23463100000001,19:36:29
46,19:36:29,32.70297,-117.23463100000001,19:36:29
47,19:36:29,32.70297,-117.23463100000001,19:36:29
48,19:36:29,32.70297,-117.23463100000001,19:36:29
49,19:36:29,32.70297,-117.23463100000001,19:36:29
50,19:36:29,32.70297,-117.23463100000001,19:36:29
51,19:36:29,32.70297,-117.23463100000001,19:36:29
52,19:36:29,32.70297,-117.23463100000001,19:36:29
53,19:36:29,32.70297,-117.23463100000001,19:36:29
54,19:36:29,32.70297,-117.23463100000001,19:36:29
55,19:36:29,32.70297,-117.23463100000001,19:36:30
56,19:36:29,32.70297,-117.23463100000001,19:36:30
57,19:36:29,32.70297,-117.23463100000001,19:36:30
58,19:36:29,32.70297,-117.23463100000001,19:36:30
59,19:36:29,32.70297,-117.23463100000001,19:36:30
60,19:36:29,32.70297,-117.23463100000001,19:36:30
61,19:36:29,32.70297,-117.23463100000001,19:36:30
62,19:36:29,32.70297,-117.23463100000001,19:36:30
63,19:36:29,32.70297,-117.23463100000001,19:36:30
64,19:36:29,32.70297,-117.23463100000001,19:36:30
65,19:36:29,32.70297,-117.23463100000001,19:36:30
66,19:36:29,32.70297,-117.23463100000001,19:36:30
67,19:36:29,32.70297,-117.23463100000001,19:36:30
68,19:36:29,32.70297,-117.23463100000001,19:36:30
69,19:36:29,32.70297,-117.23463100000001,19:36:30
70,19:36:29,32.70297,-117.23463100000001,19:36:30
71,19:36:29,32.70297,-117.23463100000001,19:36:30
72,19:36:29,32.70297,-117.23463100000001,19:36:30
