Frame No.,UTC Timestamp,Lat,Long
0,19:44:10,32.702970,-117.234631
1,19:44:10,32.702970,-117.234631
2,19:44:10,32.702970,-117.234631
3,19:44:10,32.702970,-117.234631
4,19:44:10,32.702970,-117.234631
5,19:44:10,32.702970,-117.234631
6,19:44:10,32.702970,-117.234631
7,19:44:10,32.702970,-117.234631
8,19:44:10,32.702970,-117.234631
9,19:44:10,32.702970,-117.234631
10,19:44:10,32.702970,-117.234631
11,19:44:10,32.702970,-117.234631
12,19:44:10,32.702970,-117.234631
13,19:44:10,32.702970,-117.234631
14,19:44:10,32.702970,-117.234631
15,19:44:10,32.702970,-117.234631
16,19:44:10,32.702970,-117.234631
17,19:44:10,32.702970,-117.234631
18,19:44:10,32.702970,-117.234631
19,19:44:10,32.702970,-117.234631
20,19:44:10,32.702970,-117.234631
21,19:44:10,32.702970,-117.234631
22,19:44:10,32.702970,-117.234631
23,19:44:10,32.702970,-117.234631
24,19:44:10,32.702970,-117.234631
25,19:44:10,32.702970,-117.234631
26,19:44:10,32.702970,-117.234631
27,19:44:10,32.702970,-117.234631
28,19:44:10,32.702970,-117.234631
29,19:44:10,32.702970,-117.234631
30,19:44:10,32.702970,-117.234631
31,19:44:10,32.702970,-117.234631
32,19:44:10,32.702970,-117.234631
33,19:44:10,32.702970,-117.234631
34,19:44:10,32.702970,-117.234631
35,19:44:10,32.702970,-117.234631
36,19:44:10,32.702970,-117.234631
37,19:44:10,32.702970,-117.234631
38,19:44:10,32.702970,-117.234631
39,19:44:10,32.702970,-117.234631
40,19:44:10,32.702970,-117.234631
41,19:44:10,32.702970,-117.234631
42,19:44:10,32.702970,-117.234631
43,19:44:10,32.702970,-117.234631
44,19:44:10,32.702970,-117.234631
45,19:44:10,32.702970,-117.234631
46,19:44:10,32.702970,-117.234631
47,19:44:10,32.702970,-117.234631
48,19:44:10,32.702970,-117.234631
49,19:44:10,32.702970,-117.234631
50,19:44:10,32.702970,-117.234631
51,19:44:10,32.702970,-117.234631
52,19:44:10,32.702970,-117.234631
53,19:44:10,32.702970,-117.234631
54,19:44:10,32.702970,-117.234631
55,19:44:10,32.702970,-117.234631
56,19:44:10,32.702970,-117.234631
57,19:44:10,32.702970,-117.234631
58,19:44:10,32.702970,-117.234631
59,19:44:10,32.702970,-117.234631
60,19:44:10,32.702970,-117.234631
61,19:44:10,32.702970,-117.234631
62,19:44:10,32.702970,-117.234631
63,19:44:10,32.702970,-117.234631
64,19:44:10,32.702970,-117.234631
65,19:44:10,32.702970,-117.234631
66,19:44:10,32.702970,-117.234631
67,19:44:10,32.702970,-117.234631
68,19:44:10,32.702970,-117.234631
69,19:44:10,32.702970,-117.234631
70,19:44:10,32.702970,-117.234631
71,19:44:10,32.702970,-117.234631
72,19:44:10,32.702970,-117.234631
73,19:44:10,32.702970,-117.234631
74,19:44:10,32.702970,-117.234631
75,19:44:10,32.702970,-117.234631
76,19:44:10,32.702970,-117.234631
77,19:44:10,32.702970,-117.234631
78,19:44:10,32.702970,-117.234631
79,19:44:10,32.702970,-117.234631
80,19:44:10,32.702970,-117.234631
81,19:44:10,32.702970,-117.234631
82,19:44:10,32.702970,-117.234631
83,19:44:10,32.702970,-117.234631
84,19:44:10,32.702970,-117.234631
85,19:44:15,32.702970,-117.234631
86,19:44:15,32.702970,-117.234631
87,19:44:15,32.702970,-117.234631
88,19:44:15,32.702970,-117.234631
89,19:44:15,32.702970,-117.234631
90,19:44:15,32.702970,-117.234631
91,19:44:15,32.702970,-117.234631
92,19:44:15,32.702970,-117.234631
93,19:44:15,32.702970,-117.234631
94,19:44:15,32.702970,-117.234631
95,19:44:15,32.702970,-117.234631
96,19:44:15,32.702970,-117.234631
97,19:44:15,32.702970,-117.234631
98,19:44:15,32.702970,-117.234631
99,19:44:15,32.702970,-117.234631
100,19:44:15,32.702970,-117.234631
101,19:44:15,32.702970,-117.234631
102,19:44:15,32.702970,-117.234631
103,19:44:15,32.702970,-117.234631
104,19:44:15,32.702970,-117.234631
105,19:44:15,32.702970,-117.234631
106,19:44:15,32.702970,-117.234631
107,19:44:15,32.702970,-117.234631
108,19:44:15,32.702970,-117.234631
109,19:44:15,32.702970,-117.234631
110,19:44:15,32.702970,-117.234631
111,19:44:15,32.702970,-117.234631
112,19:44:15,32.702970,-117.234631
113,19:44:15,32.702970,-117.234631
114,19:44:15,32.702970,-117.234631
115,19:44:15,32.702970,-117.234631
116,19:44:15,32.702970,-117.234631
117,19:44:15,32.702970,-117.234631
118,19:44:15,32.702970,-117.234631
119,19:44:15,32.702970,-117.234631
120,19:44:15,32.702970,-117.234631
121,19:44:15,32.702970,-117.234631
122,19:44:15,32.702970,-117.234631
123,19:44:15,32.702970,-117.234631
124,19:44:15,32.702970,-117.234631
125,19:44:15,32.702970,-117.234631
126,19:44:15,32.702970,-117.234631
127,19:44:15,32.702970,-117.234631
128,19:44:15,32.702970,-117.234631
129,19:44:15,32.702970,-117.234631
130,19:44:15,32.702970,-117.234631
131,19:44:15,32.702970,-117.234631
132,19:44:15,32.702970,-117.234631
133,19:44:15,32.702970,-117.234631
134,19:44:15,32.702970,-117.234631
135,19:44:15,32.702970,-117.234631
136,19:44:15,32.702970,-117.234631
137,19:44:15,32.702970,-117.234631
138,19:44:15,32.702970,-117.234631
139,19:44:15,32.702970,-117.234631
140,19:44:15,32.702970,-117.234631
141,19:44:15,32.702970,-117.234631
142,19:44:15,32.702970,-117.234631
143,19:44:15,32.702970,-117.234631
144,19:44:15,32.702970,-117.234631
145,19:44:15,32.702970,-117.234631
146,19:44:15,32.702970,-117.234631
147,19:44:15,32.702970,-117.234631
148,19:44:15,32.702970,-117.234631
149,19:44:15,32.702970,-117.234631
150,19:44:15,32.702970,-117.234631
151,19:44:15,32.702970,-117.234631
152,19:44:15,32.702970,-117.234631
153,19:44:15,32.702970,-117.234631
154,19:44:15,32.702970,-117.234631
155,19:44:15,32.702970,-117.234631
156,19:44:15,32.702970,-117.234631
157,19:44:15,32.702970,-117.234631
158,19:44:15,32.702970,-117.234631
159,19:44:15,32.702970,-117.234631
160,19:44:15,32.702970,-117.234631
161,19:44:15,32.702970,-117.234631
162,19:44:15,32.702970,-117.234631
163,19:44:15,32.702970,-117.234631
164,19:44:15,32.702970,-117.234631
165,19:44:15,32.702970,-117.234631
166,19:44:15,32.702970,-117.234631
167,19:44:15,32.702970,-117.234631
168,19:44:15,32.702970,-117.234631
169,19:44:15,32.702970,-117.234631
170,19:44:15,32.702970,-117.234631
171,19:44:15,32.702970,-117.234631
172,19:44:15,32.702970,-117.234631
173,19:44:15,32.702970,-117.234631
174,19:44:15,32.702970,-117.234631
175,19:44:15,32.702970,-117.234631
176,19:44:15,32.702970,-117.234631
177,19:44:15,32.702970,-117.234631
178,19:44:15,32.702970,-117.234631
179,19:44:15,32.702970,-117.234631
180,19:44:15,32.702970,-117.234631
181,19:44:15,32.702970,-117.234631
182,19:44:15,32.702970,-117.234631
183,19:44:15,32.702970,-117.234631
184,19:44:15,32.702970,-117.234631
185,19:44:15,32.702970,-117.234631
186,19:44:15,32.702970,-117.234631
187,19:44:15,32.702970,-117.234631
188,19:44:15,32.702970,-117.234631
189,19:44:15,32.702970,-117.234631
190,19:44:15,32.702970,-117.234631
191,19:44:15,32.702970,-117.234631
192,19:44:15,32.702970,-117.234631
193,19:44:15,32.702970,-117.234631
194,19:44:15,32.702970,-117.234631
195,19:44:15,32.702970,-117.234631
196,19:44:15,32.702970,-117.234631
197,19:44:15,32.702970,-117.234631
198,19:44:15,32.702970,-117.234631
199,19:44:20,32.702970,-117.234631
200,19:44:20,32.702970,-117.234631
201,19:44:20,32.702970,-117.234631
202,19:44:20,32.702970,-117.234631
203,19:44:20,32.702970,-117.234631
204,19:44:20,32.702970,-117.234631
205,19:44:20,32.702970,-117.234631
206,19:44:20,32.702970,-117.234631
207,19:44:20,32.702970,-117.234631
208,19:44:20,32.702970,-117.234631
209,19:44:20,32.702970,-117.234631
210,19:44:20,32.702970,-117.234631
211,19:44:20,32.702970,-117.234631
212,19:44:20,32.702970,-117.234631
213,19:44:20,32.702970,-117.234631
214,19:44:20,32.702970,-117.234631
215,19:44:20,32.702970,-117.234631
216,19:44:20,32.702970,-117.234631
217,19:44:20,32.702970,-117.234631
218,19:44:20,32.702970,-117.234631
219,19:44:20,32.702970,-117.234631
220,19:44:20,32.702970,-117.234631
221,19:44:20,32.702970,-117.234631
222,19:44:20,32.702970,-117.234631
223,19:44:20,32.702970,-117.234631
224,19:44:20,32.702970,-117.234631
225,19:44:20,32.702970,-117.234631
226,19:44:20,32.702970,-117.234631
227,19:44:20,32.702970,-117.234631
228,19:44:20,32.702970,-117.234631
229,19:44:20,32.702970,-117.234631
230,19:44:20,32.702970,-117.234631
231,19:44:20,32.702970,-117.234631
232,19:44:20,32.702970,-117.234631
