0,818,433,29,11
0.05,818.37,432.99,28.989,10.989
0.1,818.74,432.98,28.977,10.977
0.15,819.1,432.97,28.966,10.966
0.2,819.47,432.95,28.954,10.954
0.25,819.84,432.94,28.943,10.943
0.3,820.21,432.93,28.931,10.931
0.35,820.57,432.92,28.92,10.92
0.4,820.94,432.91,28.908,10.908
0.45,821.31,432.9,28.897,10.897
0.5,821.68,432.89,28.885,10.885
0.55,822.05,432.87,28.874,10.874
0.6,822.41,432.86,28.862,10.862
0.65,822.78,432.85,28.851,10.851
0.7,823.15,432.84,28.839,10.839
0.75,823.52,432.83,28.828,10.828
0.8,823.89,432.82,28.816,10.816
0.85,824.25,432.8,28.805,10.805
0.9,824.62,432.79,28.793,10.793
0.95,824.99,432.78,28.782,10.782
1,825.36,432.77,28.77,10.77
1.05,825.72,432.76,28.759,10.759
1.1,826.09,432.75,28.747,10.747
1.15,826.46,432.74,28.736,10.736
1.2,826.83,432.72,28.724,10.724
1.25,827.2,432.71,28.713,10.713
1.3,827.56,432.7,28.701,10.701
1.35,827.93,432.69,28.69,10.69
1.4,828.3,432.68,28.678,10.678
1.45,828.67,432.67,28.667,10.667
1.5,829.03,432.66,28.655,10.655
1.55,829.4,432.64,28.644,10.644
1.6,829.77,432.63,28.632,10.632
1.65,830.14,432.62,28.621,10.621
1.7,830.51,432.61,28.609,10.609
1.75,830.87,432.6,28.598,10.598
1.8,831.24,432.59,28.586,10.586
1.85,831.61,432.57,28.575,10.575
1.9,831.98,432.56,28.563,10.563
1.95,832.34,432.55,28.552,10.552
2,832.71,432.54,28.54,10.54
2.05,833.08,432.53,28.529,10.529
2.1,833.45,432.52,28.517,10.517
2.15,833.82,432.51,28.506,10.506
2.2,834.18,432.49,28.494,10.494
2.25,834.55,432.48,28.483,10.483
2.3,834.92,432.47,28.471,10.471
2.35,835.29,432.46,28.46,10.46
2.4,835.66,432.45,28.448,10.448
2.45,836.02,432.44,28.437,10.437
2.5,836.39,432.43,28.425,10.425
2.55,836.76,432.41,28.414,10.414
2.6,837.13,432.4,28.402,10.402
2.65,837.49,432.39,28.391,10.391
2.7,837.86,432.38,28.379,10.379
2.75,838.23,432.37,28.368,10.368
2.8,838.6,432.36,28.356,10.356
2.85,838.97,432.34,28.345,10.345
2.9,839.33,432.33,28.333,10.333
2.95,839.7,432.32,28.322,10.322
3,840.07,432.31,28.31,10.31
3.05,840.44,432.3,28.299,10.299
3.1,840.8,432.29,28.287,10.287
3.15,841.17,432.28,28.276,10.276
3.2,841.54,432.26,28.264,10.264
3.25,841.91,432.25,28.253,10.253
3.3,842.28,432.24,28.241,10.241
3.35,842.64,432.23,28.23,10.23
3.4,843.01,432.22,28.218,10.218
3.45,843.38,432.21,28.207,10.207
3.5,843.75,432.2,28.195,10.195
3.55,844.11,432.18,28.184,10.184
3.6,844.48,432.17,28.172,10.172
3.65,844.85,432.16,28.161,10.161
3.7,845.22,432.15,28.149,10.149
3.75,845.59,432.14,28.138,10.138
3.8,845.95,432.13,28.126,10.126
3.85,846.32,432.11,28.115,10.115
3.9,846.69,432.1,28.103,10.103
3.95,847.06,432.09,28.092,10.092
4,847.43,432.08,28.08,10.08
4.05,847.79,432.07,28.069,10.069
4.1,848.16,432.06,28.057,10.057
4.15,848.53,432.05,28.046,10.046
4.2,848.9,432.03,28.034,10.034
4.25,849.26,432.02,28.023,10.023
4.3,849.63,432.01,28.011,10.011
4.35,850,432,28,10
4.4,850.5,432,27.972,9.9722
4.45,851,432,27.944,9.9444
4.5,851.5,432,27.917,9.9167
4.55,852,432,27.889,9.8889
4.6,852.5,432,27.861,9.8611
4.65,853,432,27.833,9.8333
4.7,853.5,432,27.806,9.8056
4.75,854,432,27.778,9.7778
4.8,854.5,432,27.75,9.75
4.85,855,432,27.722,9.7222
4.9,855.5,432,27.694,9.6944
4.95,856,432,27.667,9.6667
5,856.5,432,27.639,9.6389
5.05,857,432,27.611,9.6111
5.1,857.5,432,27.583,9.5833
5.15,858,432,27.556,9.5556
5.2,858.5,432,27.528,9.5278
5.25,859,432,27.5,9.5
5.3,859.5,432,27.472,9.4722
5.35,860,432,27.444,9.4444
5.4,860.5,432,27.417,9.4167
5.45,861,432,27.389,9.3889
5.5,861.5,432,27.361,9.3611
5.55,862,432,27.333,9.3333
5.6,862.5,432,27.306,9.3056
5.65,863,432,27.278,9.2778
5.7,863.5,432,27.25,9.25
5.75,864,432,27.222,9.2222
5.8,864.5,432,27.194,9.1944
5.85,865,432,27.167,9.1667
5.9,865.5,432,27.139,9.1389
5.95,866,432,27.111,9.1111
6,866.5,432,27.083,9.0833
6.05,867,432,27.056,9.0556
6.1,867.5,432,27.028,9.0278
6.15,868,432,27,9
6.2,868.5,432,26.972,8.9722
6.25,869,432,26.944,8.9444
6.3,869.5,432,26.917,8.9167
6.35,870,432,26.889,8.8889
6.4,870.5,432,26.861,8.8611
6.45,871,432,26.833,8.8333
6.5,871.5,432,26.806,8.8056
6.55,872,432,26.778,8.7778
6.6,872.5,432,26.75,8.75
6.65,873,432,26.722,8.7222
6.7,873.5,432,26.694,8.6944
6.75,874,432,26.667,8.6667
6.8,874.5,432,26.639,8.6389
6.85,875,432,26.611,8.6111
6.9,875.5,432,26.583,8.5833
6.95,876,432,26.556,8.5556
7,876.5,432,26.528,8.5278
7.05,877,432,26.5,8.5
7.1,877.5,432,26.472,8.4722
7.15,878,432,26.444,8.4444
7.2,878.5,432,26.417,8.4167
7.25,879,432,26.389,8.3889
7.3,879.5,432,26.361,8.3611
7.35,880,432,26.333,8.3333
7.4,880.5,432,26.306,8.3056
7.45,881,432,26.278,8.2778
7.5,881.5,432,26.25,8.25
7.55,882,432,26.222,8.2222
7.6,882.5,432,26.194,8.1944
7.65,883,432,26.167,8.1667
7.7,883.5,432,26.139,8.1389
7.75,884,432,26.111,8.1111
7.8,884.5,432,26.083,8.0833
7.85,885,432,26.056,8.0556
7.9,885.5,432,26.028,8.0278
7.95,886,432,26,8
8,886.5,431.98,26.033,8.0222
8.05,887,431.96,26.067,8.0444
8.1,887.5,431.93,26.1,8.0667
8.15,888,431.91,26.133,8.0889
8.2,888.5,431.89,26.167,8.1111
8.25,889,431.87,26.2,8.1333
8.3,889.5,431.84,26.233,8.1556
8.35,890,431.82,26.267,8.1778
8.4,890.5,431.8,26.3,8.2
8.45,891,431.78,26.333,8.2222
8.5,891.5,431.76,26.367,8.2444
8.55,892,431.73,26.4,8.2667
8.6,892.5,431.71,26.433,8.2889
8.65,893,431.69,26.467,8.3111
8.7,893.5,431.67,26.5,8.3333
8.75,894,431.64,26.533,8.3556
8.8,894.5,431.62,26.567,8.3778
8.85,895,431.6,26.6,8.4
8.9,895.5,431.58,26.633,8.4222
8.95,896,431.56,26.667,8.4444
9,896.5,431.53,26.7,8.4667
9.05,897,431.51,26.733,8.4889
9.1,897.5,431.49,26.767,8.5111
9.15,898,431.47,26.8,8.5333
9.2,898.5,431.44,26.833,8.5556
9.25,899,431.42,26.867,8.5778
9.3,899.5,431.4,26.9,8.6
9.35,900,431.38,26.933,8.6222
9.4,900.5,431.36,26.967,8.6444
9.45,901,431.33,27,8.6667
9.5,901.5,431.31,27.033,8.6889
9.55,902,431.29,27.067,8.7111
9.6,902.5,431.27,27.1,8.7333
9.65,903,431.24,27.133,8.7556
9.7,903.5,431.22,27.167,8.7778
9.75,904,431.2,27.2,8.8
9.8,904.5,431.18,27.233,8.8222
9.85,905,431.16,27.267,8.8444
9.9,905.5,431.13,27.3,8.8667
9.95,906,431.11,27.333,8.8889
10,906.5,431.09,27.367,8.9111
10.05,907,431.07,27.4,8.9333
10.1,907.5,431.04,27.433,8.9556
10.15,908,431.02,27.467,8.9778
10.2,908.5,431,27.5,9
10.25,909,430.98,27.533,9.0222
10.3,909.5,430.96,27.567,9.0444
10.35,910,430.93,27.6,9.0667
10.4,910.5,430.91,27.633,9.0889
10.45,911,430.89,27.667,9.1111
10.5,911.5,430.87,27.7,9.1333
10.55,912,430.84,27.733,9.1556
10.6,912.5,430.82,27.767,9.1778
10.65,913,430.8,27.8,9.2
10.7,913.5,430.78,27.833,9.2222
10.75,914,430.76,27.867,9.2444
10.8,914.5,430.73,27.9,9.2667
10.85,915,430.71,27.933,9.2889
10.9,915.5,430.69,27.967,9.3111
10.95,916,430.67,28,9.3333
11,916.5,430.64,28.033,9.3556
11.05,917,430.62,28.067,9.3778
11.1,917.5,430.6,28.1,9.4
11.15,918,430.58,28.133,9.4222
11.2,918.5,430.56,28.167,9.4444
11.25,919,430.53,28.2,9.4667
11.3,919.5,430.51,28.233,9.4889
11.35,920,430.49,28.267,9.5111
11.4,920.5,430.47,28.3,9.5333
11.45,921,430.44,28.333,9.5556
11.5,921.5,430.42,28.367,9.5778
11.55,922,430.4,28.4,9.6
11.6,922.5,430.38,28.433,9.6222
11.65,923,430.36,28.467,9.6444
11.7,923.5,430.33,28.5,9.6667
11.75,924,430.31,28.533,9.6889
